,Ticker Name,Indicator,Score,Successful PseudoTrades,Failed PseudoTrades,Win/Loss Ratio,Amount Earned
0,EURUSD=X,ichimoku200,100,0,0,1.0,0
1,EURUSD=X,macdRSI,100,0,0,1.0,0
2,EURUSD=X,macd200,100,0,0,1.0,0
3,EURUSD=X,parabolic200,100,0,0,1.0,0
4,EURUSD=X,SMA200,100,0,0,1.0,0
5,EURUSD=X,trix200,100,0,0,1.0,0
6,EURUSD=X,macdTRIX,100,0,0,1.0,0
7,EURUSD=X,bbands200,100,0,0,1.0,0
8,ADBE,ichimoku200,80.19000000000003,1,3,0.3333333333333333,-0.007070809136402123
9,ADBE,macdRSI,107.81100000000004,3,2,1.5,0.2867939623065613
10,ADBE,macd200,90.0,0,1,1.0,-0.14565439105162306
11,ADBE,parabolic200,92.27446944279205,8,8,1.0,0.37015431303602786
12,ADBE,SMA200,90.0,0,1,1.0,-0.09939884987075348
13,ADBE,trix200,100,0,0,1.0,0
14,ADBE,macdTRIX,119.79000000000002,3,1,3.0,0.4324483533581843
15,ADBE,bbands200,90.0,0,1,1.0,-0.14783762666649058
16,SE,ichimoku200,110.0,1,0,1.0,0.2647829212621797
17,SE,macdRSI,108.9,2,1,2.0,0.6384883657380034
18,SE,macd200,90.0,0,1,1.0,-0.20413923209866275
19,SE,parabolic200,104.6089054890001,6,5,1.2,-0.5757700067992555
20,SE,SMA200,90.0,0,1,1.0,-0.1062223929335756
21,SE,trix200,99.0,1,1,1.0,-0.046635709572341894
22,SE,macdTRIX,98.01,2,2,1.0,0.43434913363934063
23,SE,bbands200,100,0,0,1.0,0
24,JPYUSD=X,ichimoku200,100,0,0,1.0,0
25,JPYUSD=X,macdRSI,100,0,0,1.0,0
26,JPYUSD=X,macd200,100,0,0,1.0,0
27,JPYUSD=X,parabolic200,100,0,0,1.0,0
28,JPYUSD=X,SMA200,100,0,0,1.0,0
29,JPYUSD=X,trix200,100,0,0,1.0,0
30,JPYUSD=X,macdTRIX,100,0,0,1.0,0
31,JPYUSD=X,bbands200,100,0,0,1.0,0
32,AAPL,ichimoku200,100,0,0,1.0,0
33,AAPL,macdRSI,110.0,1,0,1.0,0.4059872765725562
34,AAPL,macd200,110.0,1,0,1.0,0.1527352819787188
35,AAPL,parabolic200,72.17100000000002,1,4,0.25,-0.7950737818655129
36,AAPL,SMA200,100,0,0,1.0,0
37,AAPL,trix200,100,0,0,1.0,0
38,AAPL,macdTRIX,99.0,1,1,1.0,0.24007924222899152
39,AAPL,bbands200,100,0,0,1.0,0
40,MSFT,ichimoku200,81.0,0,2,0.5,-0.27205293520305335
41,MSFT,macdRSI,108.9,2,1,2.0,0.09798470140923182
42,MSFT,macd200,110.0,1,0,1.0,0.12188293076389548
43,MSFT,parabolic200,95.09900499,5,5,1.0,0.3692280335547619
44,MSFT,SMA200,99.0,1,1,1.0,0.07522917161709285
45,MSFT,trix200,110.0,1,0,1.0,0.14417484734021527
46,MSFT,macdTRIX,99.0,1,1,1.0,-0.023898229354663646
47,MSFT,bbands200,100,0,0,1.0,0
48,ZM,ichimoku200,110.0,1,0,1.0,0.2333085514472805
49,ZM,macdRSI,89.10000000000002,1,2,0.5,-0.3966810102657235
50,ZM,macd200,100,0,0,1.0,0
51,ZM,parabolic200,151.62631954118058,11,6,1.8333333333333333,2.874363619293849
52,ZM,SMA200,110.0,1,0,1.0,0.2202902382763491
53,ZM,trix200,99.0,1,1,1.0,0.08540617369305378
54,ZM,macdTRIX,89.10000000000002,1,2,0.5,-0.3966810102657235
55,ZM,bbands200,100,0,0,1.0,0
56,TSLA,ichimoku200,100,0,0,1.0,0
57,TSLA,macdRSI,108.9,2,1,2.0,1.47036910945071
58,TSLA,macd200,100,0,0,1.0,0
59,TSLA,parabolic200,46.409100377310025,3,10,0.3,-1.0283403392559758
60,TSLA,SMA200,90.0,0,1,1.0,-0.22028420946361865
61,TSLA,trix200,110.0,1,0,1.0,0.32882177056639905
62,TSLA,macdTRIX,108.9,2,1,2.0,1.47036910945071
63,TSLA,bbands200,100,0,0,1.0,0
